Date,AAPL,PG,XOM
2022-05-06,155.1699676513672,145.5579071044922,83.38097381591797
2022-05-09,150.02000427246094,145.19398498535156,76.80615234375
2022-05-10,152.4371337890625,144.42886352539062,77.3154067993164
2022-05-11,144.5345916748047,142.3948211669922,78.92501068115234
2022-05-12,140.64743041992188,141.81629943847656,79.2833023071289
2022-05-13,145.13638305664062,143.3372039794922,81.6351547241211
2022-05-16,143.5874786376953,144.73678588867188,83.55522918701172
2022-05-17,147.23785400390625,144.3262481689453,84.62091827392578
2022-05-18,138.93080139160156,135.33151245117188,83.27963256835938
2022-05-19,135.50735473632812,132.215087890625,83.72978973388672
2022-05-20,135.74412536621094,132.29908752441406,84.3912353515625
2022-05-23,141.1900634765625,135.34083557128906,86.25617980957031
2022-05-24,138.4769744873047,137.74815368652344,86.72472381591797
2022-05-25,138.6348114013672,135.49017333984375,88.47024536132812
2022-05-26,141.85107421875,136.67514038085938,88.7825927734375
2022-05-27,147.63246154785156,138.7651824951172,89.65535736083984
2022-05-31,146.84320068359375,137.98141479492188,88.19463348388672
2022-06-01,146.7149200439453,135.891357421875,89.88502502441406
2022-06-02,149.18141174316406,137.3562774658203,89.7288589477539
2022-06-03,143.4296112060547,136.12461853027344,91.03340148925781
2022-06-06,144.17941284179688,135.59278869628906,90.80372619628906
2022-06-07,146.7149200439453,137.10433959960938,94.9654312133789
2022-06-08,145.97500610351562,135.3968505859375,96.08621978759766
2022-06-09,140.7263946533203,132.9522247314453,94.00997924804688
2022-06-10,135.29029846191406,132.4483642578125,92.29199981689453
2022-06-13,130.11073303222656,128.9027099609375,88.05682373046875
2022-06-14,130.97891235351562,124.8812026977539,88.28650665283203
2022-06-15,133.6130828857422,123.64022827148438,87.17488098144531
2022-06-16,128.31515502929688,124.39604949951172,83.95944213867188
2022-06-17,129.79498291015625,123.50027465820312,79.11793518066406
2022-06-21,134.0471649169922,127.24187469482422,84.0421371459961
2022-06-22,133.53416442871094,129.2292938232422,80.71646881103516
2022-06-23,136.41502380371094,132.77493286132812,78.28192901611328
2022-06-24,139.75953674316406,134.68771362304688,79.83451080322266
2022-06-27,139.75953674316406,133.6613311767578,81.79133605957031
2022-06-28,135.5961456298828,131.4873046875,84.06050872802734
2022-06-29,137.3621063232422,132.68161010742188,80.95533752441406
2022-06-30,134.88580322265625,134.1652069091797,78.67696380615234
2022-07-01,137.06613159179688,136.3299102783203,80.43167114257812
2022-07-05,139.6608428955078,135.01429748535156,77.91444396972656
2022-07-06,141.00259399414062,136.27391052246094,76.50885009765625
2022-07-07,144.3865966796875,136.22726440429688,78.95257568359375
2022-07-08,145.06732177734375,135.31288146972656,79.08119201660156
2022-07-11,142.92645263671875,136.26458740234375,78.67696380615234
2022-07-12,143.90318298339844,135.06094360351562,77.62965393066406
2022-07-13,143.5381317138672,135.94735717773438,77.94200897216797
2022-07-14,146.47816467285156,135.54612731933594,76.38023376464844
2022-07-15,148.1553192138672,135.35952758789062,77.6664047241211
2022-07-18,145.09693908691406,133.71730041503906,79.09955596923828
2022-07-19,148.97422790527344,134.39845275878906,81.09313201904297
2022-07-20,150.9868621826172,132.07513427734375,81.98426818847656
2022-07-21,153.265869140625,132.2000274658203,80.61540222167969
2022-07-22,152.0227813720703,134.3130645751953,79.99988555908203
2022-07-25,150.89805603027344,135.2239990234375,82.66410064697266
2022-07-26,149.566162109375,135.48696899414062,82.34255981445312
2022-07-27,154.68655395507812,136.77354431152344,84.12480926513672
2022-07-28,155.23902893066406,139.0462188720703,85.10782623291016
2022-07-29,160.32977294921875,130.45326232910156,89.04901885986328
2022-08-01,159.3432159423828,134.2003631591797,86.79822540283203
2022-08-02,157.8633270263672,133.3082275390625,86.42156219482422
2022-08-03,163.9012451171875,136.059814453125,83.6195297241211
2022-08-04,163.5855255126953,135.84381103515625,80.1009521484375
2022-08-05,163.35829162597656,135.90956115722656,81.25849151611328
2022-08-08,162.88409423828125,136.4260711669922,81.71782684326172
2022-08-09,162.93345642089844,136.10678100585938,83.2244873046875
2022-08-10,167.20144653320312,137.39334106445312,84.01457214355469
2022-08-11,166.46047973632812,136.4166717529297,86.4449462890625
2022-08-12,170.02700805664062,137.74085998535156,87.19631958007812
2022-08-15,171.10385131835938,139.51576232910156,85.63790893554688
2022-08-16,170.94577026367188,140.80238342285156,84.84016418457031
2022-08-17,172.4474639892578,140.15440368652344,85.52659606933594
2022-08-18,172.05230712890625,140.65211486816406,87.54881286621094
2022-08-19,169.45399475097656,140.61453247070312,87.27053833007812
2022-08-22,165.55157470703125,140.23890686035156,87.20559692382812
2022-08-23,165.2156524658203,137.5342254638672,90.90678405761719
2022-08-24,165.5120086669922,136.9425811767578,91.44481658935547
2022-08-25,167.98191833496094,136.8299102783203,91.91790771484375
2022-08-26,161.6491241455078,133.62747192382812,90.78620910644531
2022-08-29,159.43614196777344,133.0640106201172,92.87335205078125
